params,threshold,roc_auc,precision,recall,f1_score
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7497674958926643,0.24163520374951178,0.37381671701913394,0.29353155147872845
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7495505023900545,0.21585144060495837,0.45417925478348437,0.2926291201661043
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7499230454562958,0.24021980897553316,0.36978851963746223,0.29124365482233505
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7497400655627633,0.23867460522909656,0.3713997985901309,0.29059963753841306
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7495505023900545,0.23966509680795395,0.3689828801611279,0.2905860893012927
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7499230454562958,0.21374845282300295,0.4521651560926485,0.29027670028445823
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7497674958926643,0.21436134372894408,0.448539778449144,0.29008727367461246
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7497400655627633,0.2137135227922945,0.4513595166163142,0.2900783120833603
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7404306747038246,0.21124665278191015,0.42900302114803623,0.28309409888357256
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7497400655627633,0.18988655229662424,0.552870090634441,0.2826836929097369
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7386240312417921,0.2135722376686232,0.4177240684793555,0.282638321068411
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7383571840051822,0.21318545902649413,0.41812688821752264,0.28239134870434607
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7385369078829318,0.21312487142563258,0.4173212487411883,0.2821542861033567
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7395011106968062,0.21260245901639344,0.4179254783484391,0.28183361629881154
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7497674958926643,0.18947881149537263,0.5484390735146022,0.281650806785271
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7495505023900545,0.1892604412376856,0.5494461228600201,0.28154187522575985
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7407151877853668,0.20869480456184814,0.4312185297079557,0.2812664214398318
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7410666593709113,0.20836162576389564,0.4326283987915408,0.28126227576273405
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7499230454562958,0.18865581010212532,0.5506545820745217,0.2810299635092769
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7409277781856703,0.20948890649762283,0.4259818731117825,0.2808578447646239
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7407151877853668,0.1895477534266657,0.5208459214501511,0.277944969905417
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7409277781856703,0.18950566960646262,0.5150050352467271,0.277061436775382
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7395011106968062,0.19060250094732853,0.5065458207452165,0.27698237885462557
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7404306747038246,0.1888469229060209,0.513595166163142,0.2761533463287849
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7385369078829318,0.19008075575194272,0.5025176233635448,0.2758277596594992
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7386240312417921,0.19018170713085966,0.5017119838872105,0.2758124342578752
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7383571840051822,0.18953452996653483,0.5019133937562941,0.275161486225363
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7410666593709113,0.18741789519778135,0.5172205438066465,0.27513794396528635
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7311127270069089,0.17629689282598485,0.529103726082578,0.26447196214638075
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7395011106968062,0.1687022475043221,0.6092648539778449,0.26423829489867223
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7299418829681769,0.17426100425971344,0.5438066465256798,0.2639425191847109
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7404306747038246,0.1677948379285675,0.614098690835851,0.2635719225449516
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7386240312417921,0.1683618994099466,0.603423967774421,0.2632688927943761
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7409277781856703,0.16751381215469613,0.61067472306143,0.2629091697376978
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7385369078829318,0.16804979253112035,0.6036253776435045,0.262906267818764
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7302629799163318,0.1741062675642115,0.5365558912386706,0.26290338497976906
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.3,0.7302651298129674,0.1740607644560601,0.5365558912386706,0.26285150468672913
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7383571840051822,0.16789791806581597,0.6042296072507553,0.2627775587964788
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7499230454562958,0.16361113863839064,0.665055387713998,0.2626158189843719
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7497400655627633,0.16353476411828702,0.6660624370594159,0.2625957835391273
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7497674958926643,0.163424317617866,0.6632426988922457,0.26223372486561813
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7410666593709113,0.16644047554421584,0.6175226586102719,0.2622081587274438
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7407151877853668,0.166794731064764,0.6120845921450151,0.2621522536122493
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7495505023900545,0.16272042797701605,0.6616314199395771,0.26120144714348187
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7311127270069089,0.16179622562601287,0.6233635448136958,0.25691043413297915
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7302629799163318,0.16013221459445715,0.6342396777442094,0.25570442549736094
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7302651298129674,0.16012407200244075,0.6342396777442094,0.2556940440907799
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.25,0.7299418829681769,0.15899327841512104,0.6336354481369587,0.2542016806722689
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7409277781856703,0.14681991714726667,0.7280966767371602,0.24436407881839997
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7386240312417921,0.14700798419623015,0.7194360523665659,0.24413081365546938
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7407151877853668,0.14643623264661837,0.7287009063444109,0.24386627123213805
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7410666593709113,0.146169922031991,0.732527693856999,0.2437095855529869
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7404306747038246,0.146366178914515,0.7272910372608258,0.2436901066270752
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7395011106968062,0.14630652752199713,0.7200402819738168,0.24319727891156462
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7385369078829318,0.1463996381132541,0.7170191339375629,0.24315279010996516
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.15,0.7383571840051822,0.14627834373973053,0.7172205438066466,0.24299703162851002
"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.2,0.7311127270069089,0.14442687426509346,0.7174219536757301,0.24044822465235588
